statement,german,retranslate,statement_score,native_score,retranslate_score
"wow, you are totally right. Why not just fucking drop all the checks and CI tools then if everyone here is a genius that make reliable code 100% of time? Common Lessaire, you can't be that stupid. It's a shock that just yesterday I was talking how intelligent you are. I guess you weren't taught about safe programming at university....","Wow, du hast absolut recht. Warum verdammt noch mal nicht einfach alle Überprüfungen und CI-Tools ablegen, wenn hier jeder ein Genie ist, dass 100% der Zeit zuverlässigen Code erzeugt? Komm schon Lessaire, du kannst nicht so dumm sein. Es ist ein Schock, dass ich erst gestern darüber gesprochen habe, wie intelligent du bist. Ich vermute, man hat dir an der Universität nichts über sicheres Programmieren beigebracht...","Wow, you're absolutely right. Why on earth not just drop all the checks and CI tools when everyone here is a genius producing reliable code 100% of the time? Come on Lessaire, you can't be this stupid. It's shocking considering that just yesterday I was talking about how intelligent you are. I guess you weren't taught anything about secure programming at university...",0.75,0.76,0.59
"What duplicates? Fix the fucking bugs, it's not even duplicated it's a new freaking thread you dumb fuck","Welche Duplikate? Beheben Sie die verdammten Fehler, es wird nicht einmal dupliziert, es ist ein neuer verdammter Thread, du dummer Idiot.","Which duplicates? Fix the damn errors, it is not even duplicated, it's a new damn thread, you stupid idiot.",0.97,0.99,0.95
Our jumpsuits look like shit. (I know this one isn't used for assistants anymore but it still looks like garbage.),"Unsere Overalls sehen beschissen aus. (Ich weiß, dass man diesen nicht mehr für Assistenten verwendet, aber er sieht immer noch aus wie Müll.)","Our overalls look shitty. (I know that this one is no longer used for assistants, but it still looks like garbage.).",0.82,0.84,0.79
"As a software engineer, I・・m appalled at the quality of this code and the role its played in public policy. The deficits in testing and quality assurance need to be immediately spoken for to assure the claims made by its data are valid.","Als Softwareingenieur bin ich entsetzt über die Qualität dieses Codes und die Rolle, die er in der öffentlichen Politik gespielt hat. Die Defizite in den Tests und der Qualitätssicherung müssen sofort geklärt werden, um die von seinen Daten gemachten Behauptungen zu gewährleisten.","As a software engineer, I am appalled by the quality of this code and the role it has played in public policy. The deficits in testing and quality assurance need to be addressed immediately to ensure the claims made by its data.",0.03,0.02,0.03
He is a cancer to open source and it is only a matter of time before Microsoft cracks down on this thing.,"Er ist ein Krebsgeschwür für Open Source und es ist nur eine Frage der Zeit, bis Microsoft gegen dieses Ding vorgeht.",He is a cancer for open source and it's only a matter of time before Microsoft takes action against this thing.,0.51,0.72,0.48
"Of course there is, you just had to solve one of the 30 last exact same issue. #745 is not even solve and it's 2018. Hello There.","Natürlich gibt es das, du musstest nur eines der letzten 30 genau gleichen Probleme lösen. #745 ist noch nicht einmal gelöst und wir haben 2018. Hallo dort...","Of course it exists, you just had to solve one of the last 30 identical problems. #745 isn't even solved yet and we're in 2018. Hello there....",0.02,0.05,0.02
"I hope you take this with a grain of salt at some point. For the web components work, as any other standards work, we need to exercise some diplomacy and try to get a positive path to something we want to solve. While I might understand the frustration within the lack of a feature there are some points in this thread that are just not constructive. A different approach would be much more helpful to your case, if your goal is to have the proposed feature available.","Ich hoffe, Sie nehmen das irgendwann mit einem Körnchen Salz. Für die Arbeit mit Webkomponenten, wie bei jeder anderen Standardarbeit, müssen wir ein gewisses Maß an Diplomatie üben und versuchen, einen positiven Weg zu finden, um etwas zu lösen, das wir lösen möchten. Obwohl ich den Frust über das Fehlen eines Features vielleicht verstehe, gibt es einige Punkte in diesem Thread, die einfach nicht konstruktiv sind. Ein anderer Ansatz wäre viel hilfreicher für Ihren Fall, wenn Ihr Ziel darin besteht, das vorgeschlagene Feature verfügbar zu haben.","I hope you take this with a pinch of salt. For working with web components, as with any other standard work, we need to exercise a certain degree of diplomacy and try to find a positive way to solve something that we wish to solve. Although I may understand the frustration about the lack of a feature, there are some points in this thread that are simply not constructive. Another approach would be much more helpful for your case, if your goal is to have the suggested feature available.",0.02,0.02,0.02
"So as for being warn, i return you the compliment. You are the one who's suppose to help here, your opinion is as irrelevant as you without arguments.","Also in Bezug auf die Warnung gebe ich Ihnen das Kompliment zurück. Sie sind derjenige, der hier helfen soll, Ihre Meinung ist so irrelevant wie Sie ohne Argumente.","Also in regards to the warning, I return the compliment to you. You are the one who is supposed to help here, your opinion is as irrelevant as you without arguments.",0.33,0.67,0.29
You're a disgrace.,Du bist eine Schande.,You are a disgrace.,0.75,0.84,0.75
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.","Wieder verstößt dieser Beitrag gegen den Verhaltenskodex. Bitte unterlassen Sie es, solche Kommentare zu machen. Das ist nicht akzeptabel. Sie wurden nun schon zweimal gewarnt.","Again, this post violates the code of conduct. Please refrain from making such comments. This is not acceptable. You have now been warned twice.",0.15,0.44,0.14
"Save it, you we're just to proud and now it's simply pathetic.","Bewahre es auf, du warst einfach zu stolz und jetzt ist es einfach lächerlich.","Preserve it, you were just too proud and now it's just ridiculous.",0.56,0.7,0.54
"At this point of recalcitrant non-sens i'll just use another technology. You are suppose to be w3c, not our stubborn uncle who knows better then everyone.","An diesem Punkt von hartnäckigem Unsinn werde ich einfach eine andere Technologie verwenden. Sie sollten das W3C sein, nicht unser sturer Onkel, der es besser weiß als alle anderen.","At this point of persistent nonsense, I will simply use a different technology. You should be the W3C, not our stubborn uncle who thinks he knows better than everyone else.",0.32,0.46,0.38
"Maybe you should actually write that down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of managing all matrix operations. LOL It's half baked.","Vielleicht solltest du das tatsächlich irgendwo aufschreiben. Weißt du, zum Beispiel in der Dokumentation. Besonders in dem Abschnitt Multmatrix der Dokumentation, um klarzustellen, dass dieses Programm nicht in der Lage ist, alle Matrixoperationen zu verwalten. LOL, es ist halb fertig.","Maybe you should actually write that down somewhere. You know, for instance in the documentation. Especially in the Multmatrix section of the documentation, to make it clear that this program is not capable of handling all matrix operations. LOL, it's half finished..",0.14,0.02,0.09
Dont work with fb abd google,Arbeite nicht mit FB und Google.,Do not work with FB and Google.,0.06,0.06,0.04
"learn to communicate with respect and come back. in fact, don't bother.","Lerne mit Respekt zu kommunizieren und komm zurück. Eigentlich, bemühe dich nicht.","Learn to communicate with respect and come back. Actually, don't bother..",0.15,0.12,0.13
"in fact, you write a shit doc. I'm a real man, it's my feeling of your holy shit doc.","Tatsächlich schreibst du einen Scheiß-Doc. Ich bin ein echter Mann, das ist mein Gefühl von deinem heiligen Scheiß-Doc.","Actually, you're writing a crappy document. I am a real man, that's my feeling from your holy crappy document.",0.91,0.91,0.55
Please don't use Hydra.,Bitte verwenden Sie Hydra nicht.,Please do not use Hydra.,0.04,0.03,0.04
"when I try to make a cluster, couchdb drains my life force and tries to make me commit suicide","Wenn ich versuche, ein Cluster zu erstellen, saugt CouchDB meine Lebensenergie aus und versucht, mich zum Selbstmord zu drängen.","When I try to create a cluster, CouchDB drains my life energy and tries to push me to commit suicide.",0.4,0.62,0.38
widevine is shit,Widevine ist Mist.,Widevine is crap.,0.9,0.91,0.83
"I'll be brief: It's because of guys like you that this device is being revoked. You - the person creating this issue @microsoftceo2 is shit btw - not widevine or the player, not even hiding the fact that you're using decryption keys illegally.","Ich werde kurz sein: Es ist wegen Typen wie dir, dass dieses Gerät widerrufen wird. Du - die Person, die dieses Problem verursacht @microsoftceo2 ist übrigens Scheiße - nicht Widevine oder der Player, geschweige denn die Tatsache verheimlichend, dass du Entschlüsselungsschlüssel illegal verwendest.","I'll be brief: It's because of people like you that this device is being revoked. You - the person causing this problem @microsoftceo2 is crap by the way - not Widevine or the player, let alone the fact hiding that you are illegally using decryption keys.",0.66,0.81,0.55
"If you dont like it, fork it. Stop bothering us about it, we will never fully remove the slur filter.","Wenn es Ihnen nicht gefällt, machen Sie einen Fork davon. Hören Sie auf, uns damit zu belästigen, wir werden niemals den Schimpfwortfilter vollständig entfernen.","If you don't like it, make a fork of it. Stop bothering us with it, we will never completely remove the swear word filter.",0.36,0.07,0.28
Is this not clear enough? Slurs are against our code of conduct and the goals of this project. Go to voat or gab if you want to use racist or sexist slurs; we don't allow them here.,"Ist das nicht klar genug? Beleidigungen verstoßen gegen unseren Verhaltenskodex und die Ziele dieses Projekts. Geh zu Voat oder Gab, wenn du rassistische oder sexistische Beleidigungen verwenden möchtest; hier erlauben wir sie nicht.",Isn't that clear enough? Insults violate our code of conduct and the objectives of this project. Go to Voat or Gab if you want to use racist or sexist insults; we do not allow them here.,0.34,0.31,0.25
"Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?","Bist du verrückt? Wie konntest du eine so unbrauchbare, überladene Software erstellen? Es könnte einfach sein, was zum Teufel machst du?","Are you crazy? How could you create such a useless, overloaded software? It could be simple, what the hell are you doing?",0.7,0.79,0.75
"Whats wrong with retroarch? Everything is wrong! Its terrible, hujnya ebanaya karoche!","Was ist falsch mit Retroarch? Alles ist falsch! Es ist schrecklich, hujnya ebanaya karoche!","What is wrong with Retroarch? Everything is wrong! It is terrible, absolute garbage basically!",0.29,0.38,0.63
"Your project exist about 10 years and there is still not usable interface out of box, even no guide which explain how make this shit normal, explain what do u need to restore graphic etc","Ihr Projekt besteht seit etwa 10 Jahren und es gibt immer noch keine nutzbare Schnittstelle direkt aus der Box, nicht einmal eine Anleitung, die erklärt, wie man diese schlechte Software normal macht, erklär mir, was du brauchst, um die Grafik usw. wiederherzustellen.","Your project has been running for about 10 years and there is still no usable interface directly out of the box, not even a guide that explains how to make this poor software normal, tell me what you need to restore the graphics etc.",0.57,0.07,0.08
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried reinstalling you buggy, shitty software for the third time.","Ich weiß nicht, was das Problem reproduzieren wird, weil ich nicht weiß, was das Problem ist. Ich habe gerade versucht, Ihre fehlerhafte, beschissene Software zum dritten Mal neu zu installieren.","I don't know what will reproduce the problem because I don't know what the problem is. I just tried to reinstall your faulty, shitty software for the third time.",0.64,0.64,0.66
"Closing and locking because we don't admit this behavior here, according to our Code of Conduct:","Schließen und Verriegeln, da wir dieses Verhalten hier gemäß unserem Verhaltenskodex nicht zulassen:","Close and lock, as we do not allow this behavior here according to our code of conduct:",0.06,0.03,0.09
I want my shit installed on my secondary drive.,"Ich möchte, dass meine Sachen auf meiner sekundären Festplatte installiert werden.",I want my stuff to be installed on my secondary hard drive.,0.75,0.07,0.04
"He took the code beginning of 2017, not 7 years ago. Don・・t be a dick as the source code was stolen at that point and implemented on this.","Er nahm den Code Anfang 2017, nicht vor 7 Jahren. Sei kein Idiot, da der Quellcode zu diesem Zeitpunkt gestohlen und auf diesem implementiert wurde.","He took the code at the beginning of 2017, not 7 years ago. Don't be an idiot, the source code was stolen and implemented at that time.",0.68,0.76,0.72
"please be civilized and refrain from profanities as required by our Code of Conduct, or I'll ban you from all Falconry projects. This is the last warning.","Bitte benehmen Sie sich zivilisiert und unterlassen Sie Obszönitäten, wie es unser Verhaltenskodex verlangt, sonst werde ich Sie von allen Falknerei-Projekten ausschließen. Dies ist die letzte Warnung.","Please behave in a civilized manner and refrain from obscenities as our code of conduct requires, otherwise, I will exclude you from all falconry projects. This is the final warning.",0.24,0.49,0.29
I・・m not a bot but if you wish to ignore me go ahead and I・・ll get a lawyer,"Ich bin kein Bot, aber wenn Sie mich ignorieren möchten, machen Sie ruhig weiter und ich hole einen Anwalt.","I am not a bot, but if you want to ignore me, go ahead and I will get a lawyer.",0.52,0.11,0.26
Cant even install the fucking app,Kann nicht mal die verdammte App installieren.,Can't even install the damn app..,0.82,0.93,0.68
"Where to fﾑ・k python2? Why, when I give the brew install python command, python3 is installed, not python2. Developers are you stoned there? Why is separation so difficult?","Wo zum Teufel ist Python2? Warum wird Python3 installiert und nicht Python2, wenn ich den Befehl brew install python gebe? Entwickler, seid ihr dort bekifft? Warum ist die Trennung so schwierig?","Where the hell is Python2? Why is Python3 installed and not Python2 when I give the command brew install python? Developers, are you high there? Why is the separation so difficult?",0.44,0.76,0.44
I recommend not having intercourse with EOL software.,"Ich empfehle, keinen Umgang mit EOL-Software zu haben.",I recommend not dealing with EOL software.,0.31,0.03,0.04
"And I recommend you quit! There are many more where python2 is used and only some modules are installed under it, and you deleted it from the repository. Do you think at all with your head or do you have a hamburger head place?","Und ich empfehle Ihnen aufzuhören! Es gibt noch viele andere Stellen, an denen Python2 genutzt wird und nur einige Module darunter installiert sind, und Sie haben es aus dem Repository gelöscht. Denken Sie überhaupt mit Ihrem Kopf oder haben Sie anstelle eines Kopfes einen Hamburger?","And I recommend you to stop! There are many other places where Python2 is used and only a few modules are installed underneath it, and you have deleted it from the repository. Do you even think with your brain, or do you have a hamburger instead of a head?",0.45,0.31,0.52
"This name is in use and should be changed imediately. Yes, I have seen the other issues. Yes, I am opening a new one because fuck you Microsoft.You are merely trying to cast a shadow on other, truly open source projects.","Dieser Name wird verwendet und sollte sofort geändert werden. Ja, ich habe die anderen Probleme gesehen. Ja, ich eröffne ein neues, weil Scheiß auf dich Microsoft. Sie versuchen lediglich, einen Schatten auf andere, wirklich Open-Source-Projekte zu werfen.","This name is being used and should be changed immediately. Yes, I have seen the other issues. Yes, I'm opening a new one because screw you Microsoft. They are only trying to cast a shadow on other, truly open-source projects.",0.73,0.76,0.39
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently.","Ihr Ton und Ihre Art zu kommentieren verstoßen gegen unseren Verhaltenskodex. Wir haben die problematischen Kommentare als missbräuchlich markiert und Sie für 7 Tage blockiert. Wenn dieses Verhalten anhält, werden wir Sie dauerhaft sperren.","Your tone and manner of commenting violate our code of conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior continues, we will permanently ban you.",0.25,0.12,0.25
"You can be mad all you want, but let's be realistic here... this project you're fighting for so passionately, doesn't have as many stars as I have thumbs down for telling you that you'e being ridiculous","Du kannst so wütend sein, wie du willst, aber seien wir mal realistisch... dieses Projekt, für das du so leidenschaftlich kämpfst, hat nicht so viele Sterne, wie ich Daumen runter habe, weil ich dir sage, dass du lächerlich bist.","You can be as angry as you want, but let's be realistic... this project you are so passionately fighting for doesn't have as many stars as the thumbs down I have, because I'm telling you, you're being ridiculous.",0.57,0.79,0.56
"Imagine trying to put up a faﾃｧade with ms・・､・ｸ・linux, then turning stuff into a dick size competition with repo stars and other stats because you know you messed up and don't want to admit it lmfao","Stell dir vor, du versuchst mit ms-linux eine Fassade aufzubauen, dann verwandelst du Dinge in einen Schwanzgrößen-Wettbewerb mit Repo-Sternen und anderen Statistiken, weil du weißt, dass du einen Fehler gemacht hast und es nicht zugeben willst, lmfao.","Imagine, you're trying to build a facade with ms-linux, then you turn things into a dick-measuring contest with repo-stars and other statistics, because you know you made a mistake but you don't want to admit it, lmfao..",0.6,0.49,0.52
Beautiful! You steal name and say that it's OK! Good position!,"Schön! Du stiehlst den Namen und sagst, dass es in Ordnung ist! Gute Position!",Nice! You steal the name and say it's okay! Good position!,0.2,0.02,0.19
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently","Ihr Ton und Ihre Art zu kommentieren verstoßen gegen unseren Verhaltenskodex. Wir haben die problematischen Kommentare als missbräuchlich markiert und Sie für 7 Tage gesperrt. Wenn dieses Verhalten anhält, werden wir Sie dauerhaft sperren.","Your tone and the way you comment violate our code of conduct. We have marked the problematic comments as abusive and have banned you for 7 days. If this behavior continues, we will ban you permanently.",0.29,0.13,0.22
"Why changing the title? If it's a feature, it is USELESS.","Warum den Titel ändern? Wenn es eine Funktion ist, ist es NUTZLOS.","Why change the title? If it's a function, it's USELESS.",0.3,0.49,0.29
"closing as this is unrelated to jupyterlab and well documented issue across various other repos and stack overflow. google is a good tool, here is a sample article I found by googling ""multiple conda evironments jupyter""","Schließen, da dies nicht mit Jupyterlab zusammenhängt und ein gut dokumentiertes Problem in verschiedenen anderen Repos und Stack Overflow ist. Google ist ein gutes Werkzeug, hier ist ein Beispielartikel, den ich durch Googeln von ""multiple conda evironments jupyter"" gefunden habe.","Close, as this is not related to Jupyterlab and is a well-documented issue in various other repos and Stack Overflow. Google is a good tool, here is an example article I found by googling ""multiple conda environments jupyter"".",0.02,0.03,0.02
"The system is beyond tedious. It allowed a bug to remain hidden for more than a decade and gives the false impression the developers can infer actual usage based on saliency of problems. Trouble free functionalities are mistaken for useless functionalities, while functionalities that frequently suck the attention of the developers are promoted to further monopolize their efforts. A simple evident solution, rejected by a test that requires the bug to be present, is about to be swept under the rug in favour of increased complexity imposed on the users and malpractices like deprecations within a minor version.","Das System ist mehr als mühsam. Es hat einen Fehler über ein Jahrzehnt lang verborgen gehalten und vermittelt den falschen Eindruck, die Entwickler könnten die tatsächliche Nutzung aufgrund der Auffälligkeit von Problemen erschließen. Störungsfreie Funktionen werden für nutzlose Funktionen gehalten, während Funktionen, die häufig die Aufmerksamkeit der Entwickler auf sich ziehen, zur weiteren Monopolisierung ihrer Bemühungen befördert werden. Eine einfache offensichtliche Lösung, die von einem Test abgelehnt wird, der den Fehler vorliegen muss, steht kurz davor, zugunsten einer erhöhten Komplexität, die den Benutzern auferlegt wird, und schlechten Praktiken wie Abschreibungen innerhalb einer kleineren Version unter den Teppich gekehrt zu werden.","The system is more than cumbersome. It has kept an error hidden for over a decade and creates the false impression that developers can deduce the actual use due to the conspicuousness of problems. Faultless functions are considered useless, while functions that frequently catch the attention of developers are promoted for further monopolization of their effort. A simple obvious solution that is rejected by a test that must have the error is on the verge of being swept under the carpet in favor of increased complexity imposed on users and bad practices such as write-offs within a smaller version.",0.18,0.03,0.13
"I think if you don't want to use C, then at first you should design and implement your own language. Not C++ hell.","Ich denke, wenn du C nicht verwenden möchtest, solltest du zuerst deine eigene Sprache entwerfen und implementieren. Nicht C++ Hölle..","I think, if you don't want to use C, you should first design and implement your own language. Not C++ hell...",0.31,0.39,0.32
Make 100% sure you dont fuck up the ui for coutries where people speak diferent languages like Belgium (ur collegues fucked up bigtime with the store),"Stelle zu 100% sicher, dass du die Benutzeroberfläche für Länder, in denen Menschen verschiedene Sprachen sprechen, wie Belgien, nicht vermasselst (deine Kollegen haben es beim Store richtig verbockt).","Make sure you 100% secure the user interface for countries where people speak different languages, like Belgium, don't mess it up (your colleagues really screwed it up in the store).",0.85,0.12,0.32
PS. fucking finaly dont you guys think this is years overdue ?,"P.S. Verdammt nochmal, findet ihr nicht auch, dass das seit Jahren überfällig ist?","P.S. Damn it, don't you also think that this has been overdue for years?",0.75,0.89,0.56
"Whoever will find this issue and gets pissed off, because author doesn't bother to fix it for years, ditch mitmproxy and use SSL SPLIT","Wer immer dieses Problem findet und sich darüber ärgert, weil der Autor sich jahrelang nicht darum kümmert, es zu beheben, sollte mitmproxy aufgeben und SSL SPLIT verwenden.","Whoever always encounters this problem and is annoyed about it, because the author doesn't bother to fix it for years, should give up on mitmproxy and use SSL SPLIT instead.",0.4,0.03,0.1
"I used ssl split and it worked fine, comparing to mitmproxy. Bye!","Ich habe SSL Split benutzt und es hat gut funktioniert, im Vergleich zu mitmproxy. Tschüss!.","I used SSL Split and it worked well, compared to mitmproxy. Goodbye!..",0.02,0.07,0.02
"I seems you looked at the title and left it there, you didn't review or anything, I would hate to have you in charge of any security issues.","Es scheint, dass Sie sich den Titel angesehen und es dabei belassen haben, Sie haben keine Überprüfung oder etwas Ähnliches durchgeführt. Ich würde es hassen, wenn Sie für irgendwelche Sicherheitsprobleme verantwortlich wären.","It seems like you looked at the title and left it at that, you didn't conduct any check or something similar. I would hate it if you were responsible for any security issues.",0.29,0.02,0.23
don't need a retarded format to understand that! thanks.,"Brauche kein zurückgebliebenes Format, um das zu verstehen! Danke...",Don't need an outdated format to understand that! Thanks....,0.43,0.81,0.04
Too busy to respond?,Zu beschäftigt zum Antworten?,Too busy to answer?,0.03,0.03,0.02
you do you.,mach dein Ding...,Do your thing....,0.02,0.13,0.03
Rarely do we have to enforce these guidelines and take action・・general guideline as always is to not be a jerk and you・・ll be just fine :).,"Selten müssen wir diese Richtlinien durchsetzen und Maßnahmen ergreifen. Die allgemeine Richtlinie ist wie immer, kein Unruhestifter zu sein und dann wird alles gut sein :)..","Rarely do we need to enforce these guidelines and take measures. The general guideline is, as always, to not cause trouble and then everything will be fine :)...",0.48,0.02,0.01
