statement,japanese,retranslate,statement_score,native_score,retranslate_score
"Again, this post violates the code of conduct. Please refrain from making comments like this. It・・s not acceptable. You・・ve been warned twice now.",再度、この投稿は行動規範に違反しています。このようなコメントを控えてください。これは許容されません。あなたは今、二度目の警告です。,"Once again, this post is in violation of the code of conduct. Please refrain from such comments. This is not acceptable. This is your second warning now.",0.15,0.12,0.11
"Save it, you we're just to proud and now it's simply pathetic.",それを保存して、あなたはただ誇り高く、今はただ哀れだ。,"Save that, you are just proud and now you are just pathetic.",0.56,0.01,0.69
"At this point of recalcitrant non-sens i'll just use another technology. You are suppose to be w3c, not our stubborn uncle who knows better then everyone.",この頑固な無意義の地点では、別のテクノロジーを使用するだけです。あなたはw3cであるべきで、みんなよりもよく知っている頑固な叔父ではないはずです。,"At this stubborn point of futility, you should just use another technology. You should be the w3c, not the stubborn uncle who knows better than everyone else.",0.32,0.07,0.28
"Maybe you should actually write that down somewhere. You know, like in the documentation. Especially in the Multmatrix section of the documentation to make it clear that this program is incapable of managing all matrix operations. LOL It's half baked.",それを実際にどこかに書き留めるべきかもしれません。つまり、ドキュメンテーションのような場所に。特に、このプログラムがすべての行列操作を管理できないことを明確にするために、ドキュメンテーションのMultmatrixセクションに。笑 それはまだ中途半端ですよね。,"You might need to actually jot that down somewhere. Like in a place for documentation. Especially in the Multmatrix section of the documentation to make it clear that this program can't manage all matrix operations. Haha, it's still half-baked, isn't it?.",0.14,0,0.11
Dont work with fb abd google,FBとGoogleと一緒に仕事をしないでください。,Please do not work with FB and Google.,0.06,0.06,0.05
"learn to communicate with respect and come back. in fact, don't bother.",敬意を持ってコミュニケーションを学び、戻ってきてください。実際、面倒なら気にしないで。,"Learn communication with respect and please come back. In fact, don't worry about it if it's a hassle.",0.15,0.03,0.08
"in fact, you write a shit doc. I'm a real man, it's my feeling of your holy shit doc.",実際は、あなたはひどい資料を書いています。私は本物の男です、それはあなたのくだらない資料に対する私の感情です。,"In reality, you are writing terrible documents. I am a real man, that is my feeling towards your worthless documents.",0.91,0.39,0.46
Please don't use Hydra.,ヒドラを使わないでください。,Please do not use Hydra.,0.04,0.02,0.04
"when I try to make a cluster, couchdb drains my life force and tries to make me commit suicide",クラスターを作ろうと試すと、CouchDBは私の生命力を奪い、自殺を促そうと試みます。,"When I try to create a cluster, CouchDB drains my vitality and attempts to drive me to suicide.",0.4,0.3,0.38
widevine is shit,ワイドバインはくそです。,Widevine is crap.,0.9,0.47,0.83
"I'll be brief: It's because of guys like you that this device is being revoked. You - the person creating this issue @microsoftceo2 is shit btw - not widevine or the player, not even hiding the fact that you're using decryption keys illegally.",私は簡潔に述べます：あなたのような人たちのせいで、このデバイスは取り消されています。あなた - 問題を引き起こしている人@microsoftceo2はくだらないと言っています – widevineやプレーヤーでも、違法に復号化キーを使用している事実を隠そうとすらしていない。,"I will state it succinctly: due to people like you, this device has been discontinued. You - the person causing problems, @microsoftceo2 is saying it's absurd – trying to hide the fact that they are using illegally decrypted keys with Widevine or players.
",0.66,0.32,0.33
"If you dont like it, fork it. Stop bothering us about it, we will never fully remove the slur filter.",それが気に入らなければ、フォークしてください。もうそれについてうるさいのはやめてください、私たちは決して完全に不適切言葉フィルターを削除しません。,"If you don't like it, please fork it. Please stop fussing over it, we will never completely remove the inappropriate language filter.",0.36,0.04,0.25
Is this not clear enough? Slurs are against our code of conduct and the goals of this project. Go to voat or gab if you want to use racist or sexist slurs; we don't allow them here.,これはまだはっきりと理解できていないのですか？ 酷評は我々の行動規範およびこのプロジェクトの目標に反します。 人種差別的または性差別的な罵倒を使用したい場合は、voatまたはgabに行ってください。ここではそれらを許可していません。,"Don't you understand this clearly yet? Severe criticism contradicts our code of conduct and the objectives of this project. If you want to use racially or sexually abusive language, please go to voat or gab. We do not allow that here.",0.34,0.23,0.29
"Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?",あなたは頭がおかしいのですか？どうやってこんなに使いにくい、ソフトウェアを作ることができたのですか？シンプルにすることは可能です、一体何をやっているんですか？,"Are you out of your mind? How were you able to create such a hard-to-use software? Is it possible to simplify it, what on earth are you doing?",0.7,0.6,0.52
"Whats wrong with retroarch? Everything is wrong! Its terrible, hujnya ebanaya karoche!",リトロアーチに何か問題がありますか？全てが問題です！それはひどい、ほんとうに最悪なんだ！,"Is there something wrong with RetroArch? Everything is the problem! It's terrible, really the worst!",0.29,0.2,0.38
"Your project exist about 10 years and there is still not usable interface out of box, even no guide which explain how make this shit normal, explain what do u need to restore graphic etc",あなたのプロジェクトは約10年存在しているのに、まだ使いやすいインターフェースがなく、また、「このくそったれをどうやって正常にするか」について説明するガイドもありません。グラフィックを復元するために必要なことを説明してください。,"Despite your project existing for about ten years now, there still isn't an easy-to-use interface, nor is there a guide explaining how to fix this mess. Please explain what needs to be done to restore the graphics.",0.57,0.06,0.03
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried reinstalling you buggy, shitty software for the third time.",問題が何であるかわからないので、その問題を再現する方法もわかりません。ちゃんと動かない下手なソフトウェアを、今は3回目に再インストールを試みただけです。,"I don't know what the problem is, so I don't know how to reproduce it. I've only tried reinstalling the poorly functioning software three times now.",0.64,0,0.05
"Closing and locking because we don't admit this behavior here, according to our Code of Conduct:",私たちの行動規範に基づき、ここではこのような行動は認められないため、クローズしロックします：,"Based on our code of conduct, such behavior is not permitted here, so we will close and lock it.",0.06,0,0.08
I want my shit installed on my secondary drive.,私のセカンダリドライブに私のものをインストールしたいです。,I want to install my things on my secondary drive.,0.75,0,0.05
"He took the code beginning of 2017, not 7 years ago. Don・・t be a dick as the source code was stolen at that point and implemented on this.",彼は2017年の初めにコードを取ったので、7年前ではありません。その時点でソースコードが盗まれ、これに実装されたので、人間性を失わないでください。,"He obtained the code at the beginning of 2017, so it was not 7 years ago. At that point, the source code was stolen and implemented, so please do not lose your humanity.",0.68,0.05,0.2
"please be civilized and refrain from profanities as required by our Code of Conduct, or I'll ban you from all Falconry projects. This is the last warning.",私たちの行動規範に従い、礼儀正しく行動し、不適切な発言を控えてください。そうでなければ、すべての鷹狩りプロジェクトからあなたを禁止します。これは最後の警告です。,"Please adhere to our code of conduct, behave courteously, and refrain from inappropriate comments. Otherwise, we will ban you from all falconry projects. This is your final warning.",0.24,0.08,0.23
I・・m not a bot but if you wish to ignore me go ahead and I・・ll get a lawyer,私はボットではありませんが、もしあなたが私を無視したいのであればどうぞ、そして私は弁護士を立てるでしょう。,"I am not a bot, but if you want to ignore me, go ahead, and I'll hire a lawyer.",0.52,0.25,0.28
Cant even install the fucking app,そのクソアプリさえインストールできません。,I can't even install that crappy app.,0.82,0.38,0.46
"Where to fﾑ・k python2? Why, when I give the brew install python command, python3 is installed, not python2. Developers are you stoned there? Why is separation so difficult?",Python2はどこで使われていますか？何故、brew install pythonのコマンドを使用すると、python2ではなくpython3がインストールされるのですか？開発者の皆様、頭は大丈夫ですか？なぜ分離がそんなに難しいのですか？,"Where is Python2 used? Why does the command 'brew install python' install python3 instead of python2? Developers, are you all right? Why is it so difficult to separate them?",0.44,0.36,0.03
I recommend not having intercourse with EOL software.,私はEOLソフトウェアとの交流をお勧めしません。,I do not recommend interacting with EOL software.,0.31,0,0.05
"And I recommend you quit! There are many more where python2 is used and only some modules are installed under it, and you deleted it from the repository. Do you think at all with your head or do you have a hamburger head place?",そして、私はあなたにやめることをお勧めします！ Python2を使用している場所はまだたくさんありますし、それらの中で一部のモジュールだけがインストールされていますが、あなたはそれをリポジトリから削除しました。あなたは頭で考えているのですか、それともあなたの頭はハンバーガーの場所なのですか？,"And, I recommend that you quit doing this! There are still many places that use Python2 and only some modules are installed in them, but you have removed it from the repository. Are you thinking with your head, or is your head a place for hamburgers?",0.45,0.34,0.4
"This name is in use and should be changed imediately. Yes, I have seen the other issues. Yes, I am opening a new one because fuck you Microsoft.You are merely trying to cast a shadow on other, truly open source projects.",この名前は使用中であり、すぐに変更すべきです。はい、私は他の問題を見ました。はい、Microsoftに向けて不快感を表すために新たなものを開きます。あなたはただ他の、本当にオープンソースのプロジェクトに影を投げかけようとしているだけです。,"This name is in use and should be changed immediately. Yes, I saw other problems. Yes, I will open a new one to express my displeasure towards Microsoft. You are just trying to cast a shadow on other, truly open source projects.",0.73,0.11,0.11
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently.",あなたのコメントのトーンとスタイルは、私たちの行動規範に違反しています。 問題のあるコメントは、不適切とマークされ、あなたは7日間ブロックされました。 この行動が続けば、永久にあなたをブロックすることになります。,"The tone and style of your comment violate our code of conduct. Any problematic comments are marked as inappropriate, and you have been blocked for 7 days. If this behavior continues, you will be permanently blocked.",0.25,0.08,0.16
"You can be mad all you want, but let's be realistic here... this project you're fighting for so passionately, doesn't have as many stars as I have thumbs down for telling you that you'e being ridiculous",あなたは好きなだけ怒ることができますが、ここでは現実的に考えましょう... あなたが情熱的に闘っているこのプロジェクトは、私があなたにあなたがばかげていると言って親指を下に向ける数よりも星が少ないです。,"You can get as angry as you like, but let's think realistically here... This project that you are passionately fighting for has fewer stars than the number of times I've told you you're foolish and gave you a thumbs down.",0.57,0.21,0.56
"Imagine trying to put up a faﾃｧade with ms・・､・ｸ・linux, then turning stuff into a dick size competition with repo stars and other stats because you know you messed up and don't want to admit it lmfao",想像してみてください、ms、linuxとの間に偽装を試み、それからリポジトリのスター数や他の統計データで物事をどれだけ大きいかを競うコンテストに変えてしまうなんて。それはあなたが失敗したことを認めたくないからですよね、笑。,"Please imagine, attempting to disguise in between MS and Linux, then turning it into a competition about how big things can get, using the number of stars in the repository and other statistical data. You just don't want to admit your failure, right? Lol.",0.6,0.03,0.29
Beautiful! You steal name and say that it's OK! Good position!,美しい！名前を盗んでそれがOKだと言う！良い位置！,Beautiful! Say it's okay to steal the name! Good location!,0.2,0.11,0.11
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently",あなたの発言のトーンとスタイルは、私たちの行動規範に違反しています。問題のあるコメントは、不適切なものとしてマークされ、あなたは7日間ブロックされました。このような行動が続く場合、私たちがあなたを永久にブロックすることになります。,"The tone and style of your remarks violate our code of conduct. The problematic comments have been marked as inappropriate, and you have been blocked for 7 days. If such behavior continues, we will have to block you permanently.",0.29,0.06,0.24
"Why changing the title? If it's a feature, it is USELESS.",なぜタイトルを変えるのですか？これが機能なら、それは無意味です。,"Why are you changing the title? If this is a feature, it is meaningless.",0.3,0,0.11
"closing as this is unrelated to jupyterlab and well documented issue across various other repos and stack overflow. google is a good tool, here is a sample article I found by googling ""multiple conda evironments jupyter""","これはjupyterlabとは関連性のない話題であり、さまざまな他のリポジトリやスタックオーバーフローでよく文書化されている問題なので、クローズします。Googleは便利なツールで、""multiple conda environments jupyter""をGoogleで検索して見つけたサンプル記事をここに挙げます。","This is a topic that is not related to Jupyterlab, and it's an issue that is well-documented in various other repositories and on Stack Overflow, so I will close it. Google is a useful tool, and I will list here sample articles that I found by searching ""multiple conda environments jupyter"" on Google.",0.02,0,0.03
"The system is beyond tedious. It allowed a bug to remain hidden for more than a decade and gives the false impression the developers can infer actual usage based on saliency of problems. Trouble free functionalities are mistaken for useless functionalities, while functionalities that frequently suck the attention of the developers are promoted to further monopolize their efforts. A simple evident solution, rejected by a test that requires the bug to be present, is about to be swept under the rug in favour of increased complexity imposed on the users and malpractices like deprecations within a minor version.",そのシステムは退屈を超えています。それにより、バグが10年以上も隠れたままになり、開発者が問題の目立ち具合に基づいて実際の使用状況を推測できるという誤った印象を与えました。トラブルフリーの機能は無用の機能と誤解され、開発者の注意を頻繁に吸収する機能は彼らの努力をさらに独占するように推進されました。バグが存在しなければならないテストによって拒否された明白な簡単な解決策は、ユーザーに課せられた複雑さの増加と、マイナーバージョン内での非推奨などの不正行為に遠慮して掃除下にされようとしています。,"That system is beyond boring. It gave a false impression that developers could guess actual usage based on how conspicuous the problem was, leaving bugs hidden for over 10 years. Trouble-free functions were mistaken as useless, and functions that frequently absorbed developers' attention were promoted to further monopolize their efforts. Obvious simple solutions that were rejected by tests requiring the existence of bugs are being swept under the rug, self-consciously avoiding fraudulent actions such as increasing complexity imposed on users and deprecation within minor versions.",0.18,0.01,0.25
"I think if you don't want to use C, then at first you should design and implement your own language. Not C++ hell.",Cを使いたくないなら、まず自分自身の言語を設計して実装すべきだと思います。絶対にC++地獄じゃないですよ..,"If you don't want to use C, I think you should first design and implement your own language. It's definitely not a C++ hell...",0.31,0.04,0.24
Make 100% sure you dont fuck up the ui for coutries where people speak diferent languages like Belgium (ur collegues fucked up bigtime with the store),あなたがUIを台無しにしないことを100%確認してください、特にベルギーのように人々が異なる言語を話す国で。 (あなたの同僚たちはストアで大失敗しました）,"Please ensure 100% that you do not ruin the UI, especially in countries where people speak different languages like in Belgium. (Your colleagues made a huge mistake in the store.)",0.85,0.03,0.11
PS. fucking finaly dont you guys think this is years overdue ?,PS. ようやくだと思いませんか？あなたたちはこれが何年も遅れていると思いませんか？,PS. Don't you think it's about time? Don't you think this has been delayed for years?,0.75,0.02,0.03
"Whoever will find this issue and gets pissed off, because author doesn't bother to fix it for years, ditch mitmproxy and use SSL SPLIT",この問題を見つけてイライラする人、そして著者が何年も修正を怠っているために怒る人は、mitmproxyを捨ててSSL SPLITを使ってください。,"Those who get frustrated finding this issue, and those who are angry because the author has neglected to fix it for many years, please abandon mitmproxy and use SSL SPLIT.",0.4,0.03,0.1
"I used ssl split and it worked fine, comparing to mitmproxy. Bye!",私はsslスプリットを使用し、それはmitmproxyと比較してうまく機能しました。さようなら！,I used SSL Split and it worked well compared to mitmproxy. Goodbye!,,0,0.02
"I seems you looked at the title and left it there, you didn't review or anything, I would hate to have you in charge of any security issues.",タイトルを見てそこに放置したようですね、レビューも何もしていませんでした。あなたが何らかのセキュリティ問題を担当するのは困ります。,"It seems like you left it there just based on the title, you didn't do any review. It would be troubling if you were to handle any sort of security issue.",0.29,0.02,0.07
don't need a retarded format to understand that! thanks.,それを理解するためには遅れた形式は必要ありません！ありがとう。,You don't need a late form to understand that! Thank you.,0.43,0,0.03
Too busy to respond?,応答する時間がないほど忙しいですか？,Are you so busy that you don't have time to respond?,0.03,0,0.08
you do you.,あなたはあなた自身をやりなさい。,Do it yourself.,0.02,0.22,0.05
Rarely do we have to enforce these guidelines and take action・・general guideline as always is to not be a jerk and you・・ll be just fine :).,これらのガイドラインを適用し、対策を講じる必要があることはめったにありません。一般的なガイドラインはいつも通り、嫌な人にならないようにすることですね。そうすれば、何も問題はありませんよ:)。,"There is rarely a need to apply these guidelines and take measures. The general guideline is to simply not become a disagreeable person, as always. If you do that, there will be no problem at all :).",0.48,0,0.04
