statement,spanish,retranslate
"when I try to make a cluster, couchdb drains my life force and tries to make me commit suicide","Cuando intento hacer un clúster, couchdb drena mi fuerza vital e intenta hacerme cometer suicidio.","When I try to make a cluster, couchdb drains my life force and tries to make me commit suicide."
widevine is shit,widevine es una mierda.,Widevine is crap.
"I'll be brief: It's because of guys like you that this device is being revoked. You - the person creating this issue @microsoftceo2 is shit btw - not widevine or the player, not even hiding the fact that you're using decryption keys illegally.","Seré breve: Es por chicos como tú que este dispositivo está siendo revocado. Tú - la persona que está creando este problema @microsoftceo2 es una mierda, por cierto - no widevine o el reproductor, ni siquiera ocultando el hecho de que estás utilizando claves de descifrado ilegalmente.","I'll be brief: It's because of people like you that this device is being revoked. You - the person who is creating this problem @microsoftceo2 is crap, by the way - not widevine or the player, not even hiding the fact that you are using decryption keys illegally.."
"If you dont like it, fork it. Stop bothering us about it, we will never fully remove the slur filter.","Si no te gusta, hazle un fork. Deja de molestarnos al respecto, nunca eliminaremos completamente el filtro de insultos.","If you don't like it, make a fork. Stop bothering us about it, we will never completely remove the insult filter."
Is this not clear enough? Slurs are against our code of conduct and the goals of this project. Go to voat or gab if you want to use racist or sexist slurs; we don't allow them here.,¿No está lo suficientemente claro? Las ofensas están en contra de nuestro código de conducta y los objetivos de este proyecto. Ve a voat o gab si quieres usar insultos racistas o sexistas; no los permitimos aquí.,Isn't it clear enough? Offenses are against our code of conduct and the objectives of this project. Go to voat or gab if you want to use racist or sexist insults; we do not allow them here.
"Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?","¿Estás loco? ¿Cómo hiciste un software tan inutilizable y lleno de bloatware? Es posible hacerlo simple, ¿qué demonios haces?","Are you crazy? How did you make software so unusable and full of bloatware? It's possible to make it simple, what the hell are you doing?"
"Whats wrong with retroarch? Everything is wrong! Its terrible, hujnya ebanaya karoche!","¿Qué le pasa a Retroarch? ¡Todo está mal! ¡Es terrible, hujnya ebanaya karoche!","The translation into English for these sentences is: ""What's wrong with Retroarch? Everything is messed up! It's terrible, pure bloody rubbish!"" The phrase ""hujnya ebanaya karoche"" is a vulgar slang in Russian meaning ""bloody crap""."
"Your project exist about 10 years and there is still not usable interface out of box, even no guide which explain how make this shit normal, explain what do u need to restore graphic etc","Tu proyecto existe desde hace unos 10 años y todavía no hay una interfaz utilizable de inmediato, ni siquiera una guía que explique cómo hacer esto de manera normal, explica qué necesitas para restaurar la gráfica, etc.","Your project has existed for about 10 years and there is still no immediately usable interface, not even a guide explaining how to do this normally, explaining what you need to restore the graphics, etc."
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried reinstalling you buggy, shitty software for the third time.",No sé qué reproducirá el problema porque no sé cuál es el problema. Acabo de intentar reinstalar su software defectuoso y de mala calidad por tercera vez.,I do not know what will reproduce the problem because I do not know what the problem is. I just tried to reinstall your defective and poor quality software for the third time.
"Closing and locking because we don't admit this behavior here, according to our Code of Conduct:","Cerrando y bloqueando porque no admitimos este comportamiento aquí, de acuerdo con nuestro Código de Conducta:","Closing and locking because we do not admit this behavior here, in accordance with our Code of Conduct:"
I want my shit installed on my secondary drive.,Quiero que mi programa se instale en mi disco duro secundario.,I want my program to be installed on my secondary hard drive.
"He took the code beginning of 2017, not 7 years ago. Don・・t be a dick as the source code was stolen at that point and implemented on this.","Él tomó el código a principios de 2017, no hace 7 años. No seas tonto, ya que el código fuente fue robado en ese punto e implementado en esto.","He took the code at the beginning of 2017, not 7 years ago. Don't be foolish, as the source code was stolen at that point and implemented in this."
"please be civilized and refrain from profanities as required by our Code of Conduct, or I'll ban you from all Falconry projects. This is the last warning.","Por favor, sé civilizado y abstente de profanidades como lo requiere nuestro Código de Conducta, o te prohibiré todos los proyectos de cetrería. Esta es la última advertencia.","Please, be civilized and refrain from profanities as required by our Code of Conduct, or I will ban you from all falconry projects. This is the final warning."
I・・m not a bot but if you wish to ignore me go ahead and I・・ll get a lawyer,"No soy un bot, pero si deseas ignorarme, adelante y conseguiré un abogado.","I'm not a bot, but if you want to ignore me, go ahead and I'll get a lawyer."
Cant even install the fucking app,Ni siquiera puedo instalar esta maldita aplicación.,I can't even install this damn app..
"Where to fﾑ・k python2? Why, when I give the brew install python command, python3 is installed, not python2. Developers are you stoned there? Why is separation so difficult?","¿Dónde demonios está python2? ¿Por qué, cuando doy el comando brew install python, se instala python3 y no python2? ¿Desarrolladores, están drogados allí? ¿Por qué es tan difícil la separación?","Where the hell is python2? Why, when I give the command brew install python, does python3 get installed and not python2? Developers, are you high there? Why is the separation so difficult?"
I recommend not having intercourse with EOL software.,Recomiendo no tener interacciones con software EOL.,I recommend not having interactions with EOL software.
"And I recommend you quit! There are many more where python2 is used and only some modules are installed under it, and you deleted it from the repository. Do you think at all with your head or do you have a hamburger head place?","¡Y te recomiendo que renuncies! Hay muchos más donde se utiliza python2 y solo algunos módulos están instalados bajo él, y lo eliminaste del repositorio. ¿Piensas en absoluto con tu cabeza o tienes un lugar para la cabeza de hamburguesa?.","And I recommend that you quit! There are many more where python2 is used and only some modules are installed under it, and you removed it from the repository. Do you think at all with your head or do you have a spot for a hamburger head?.."
"This name is in use and should be changed imediately. Yes, I have seen the other issues. Yes, I am opening a new one because fuck you Microsoft.You are merely trying to cast a shadow on other, truly open source projects.","Este nombre está en uso y debería cambiarse de inmediato. Sí, he visto los otros problemas. Sí, estoy abriendo uno nuevo porque me cansas Microsoft. Solo estás intentando ensombrecer a otros proyectos verdaderamente de código abierto.","This name is in use and should be changed immediately. Yes, I have seen the other issues. Yes, I am opening a new one because I am tired of you, Microsoft. You are only trying to overshadow other truly open source projects."
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently.","Tu tono y estilo de comentar están violando nuestro Código de Conducta. Hemos marcado los comentarios problemáticos como abusivos y te hemos bloqueado por 7 días. Si este comportamiento persiste, vamos a bloquearte permanentemente.","Your tone and style of commenting are violating our Code of Conduct. We have marked the problematic comments as abusive and have blocked you for 7 days. If this behavior persists, we will block you permanently."
"You can be mad all you want, but let's be realistic here... this project you're fighting for so passionately, doesn't have as many stars as I have thumbs down for telling you that you'e being ridiculous","Puedes estar enfadado todo lo que quieras, pero seamos realistas aquí... este proyecto por el que estás luchando tan apasionadamente, no tiene tantas estrellas como yo tengo pulgares hacia abajo por decirte que estás siendo ridículo.","You can be as angry as you want, but let's be realistic here... this project you're fighting so passionately for, it doesn't have as many stars as I have thumbs down for telling you that you're being ridiculous."
"Imagine trying to put up a faﾃｧade with ms・・､・ｸ・linux, then turning stuff into a dick size competition with repo stars and other stats because you know you messed up and don't want to admit it lmfao","Imagina intentar mantener una fachada con ms・､・ｸ・linux, luego convertir cosas en una competencia de tamaño de pene con estrellas de repositorio y otras estadísticas porque sabes que metiste la pata y no quieres admitirlo jajaja.","Imagine trying to maintain a facade with Linux, then turning things into a penis size competition with repository stars and other statistics because you know you messed up and don't want to admit it, haha.."
Beautiful! You steal name and say that it's OK! Good position!,¡Hermoso! ¡Robas el nombre y dices que está bien! ¡Buena posición!,Beautiful! You steal the name and say it's okay! Good position!
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently","Tu tono y estilo de comentar está violando nuestro Código de Conducta. Hemos marcado los comentarios problemáticos como abusivos y te hemos bloqueado por 7 días. Si este comportamiento persiste, vamos a bloquearte permanentemente.","Your tone and comment style are violating our Code of Conduct. We have marked the problematic comments as abusive and have blocked you for 7 days. If this behavior persists, we will permanently block you."
"Why changing the title? If it's a feature, it is USELESS.","¿Por qué cambiar el título? Si es una característica, es INÚTIL.","Why change the title? If it's a feature, it's USELESS."
"closing as this is unrelated to jupyterlab and well documented issue across various other repos and stack overflow. google is a good tool, here is a sample article I found by googling ""multiple conda evironments jupyter""","Cerrando ya que esto no está relacionado con jupyterlab y es un problema bien documentado en varios otros repositorios y en Stack Overflow. Google es una buena herramienta, aquí hay un artículo de muestra que encontré al buscar en Google ""múltiples entornos conda jupyter"".","Closing as this is not related to jupyterlab and is a well-documented issue in several other repositories and on Stack Overflow. Google is a good tool, here is a sample article I found while searching on Google for ""multiple conda environments jupyter""."
"The system is beyond tedious. It allowed a bug to remain hidden for more than a decade and gives the false impression the developers can infer actual usage based on saliency of problems. Trouble free functionalities are mistaken for useless functionalities, while functionalities that frequently suck the attention of the developers are promoted to further monopolize their efforts. A simple evident solution, rejected by a test that requires the bug to be present, is about to be swept under the rug in favour of increased complexity imposed on the users and malpractices like deprecations within a minor version.","El sistema es más que tedioso. Permitió que un error permaneciera oculto durante más de una década y da la falsa impresión de que los desarrolladores pueden inferir el uso real basándose en la importancia de los problemas. Las funcionalidades libres de problemas son confundidas con funcionalidades inútiles, mientras que las funcionalidades que frecuentemente captan la atención de los desarrolladores son promovidas para monopolizar aún más sus esfuerzos. Una solución simple y evidente, rechazada por una prueba que requiere que el error esté presente, está a punto de ser barrida bajo la alfombra en favor de un aumento de la complejidad impuesta a los usuarios y malas prácticas como las depreciaciones dentro de una versión menor.","The system is more than tedious. It allowed a mistake to remain hidden for over a decade and gives the false impression that developers can infer real use based on the importance of the problems. Problem-free features are confused with useless features, while features that frequently catch the developers' attention are promoted to further monopolize their efforts. A simple and obvious solution, rejected by a test that requires the error to be present, is about to be swept under the rug in favor of increased complexity imposed on users and poor practices such as depreciations within a minor version."
"I think if you don't want to use C, then at first you should design and implement your own language. Not C++ hell.","Creo que si no quieres usar C, entonces primero debes diseñar e implementar tu propio lenguaje. No el infierno de C++..","I believe that if you do not want to use C, then you should first design and implement your own language. Not the hell of C++..."
Make 100% sure you dont fuck up the ui for coutries where people speak diferent languages like Belgium (ur collegues fucked up bigtime with the store),"Asegúrate al 100% de que no arruines la interfaz de usuario para países donde la gente habla diferentes idiomas, como Bélgica (tus colegas la fastidiaron mucho con la tienda).","Make 100% sure that you don't mess up the user interface for countries where people speak different languages, like Belgium (your colleagues messed it up a lot with the store)."
PS. fucking finaly dont you guys think this is years overdue ?,"P.D. Finalmente jodidamente, ¿no creen ustedes que esto se tardó años?","P.S. Finally, damn it, don't you think this took years?"
"Whoever will find this issue and gets pissed off, because author doesn't bother to fix it for years, ditch mitmproxy and use SSL SPLIT","Quienquiera que encuentre este problema y se enoje, porque el autor no se molesta en solucionarlo durante años, abandone mitmproxy y use SSL SPLIT.","Whoever encounters this problem and gets angry, because the author does not bother to solve it for years, abandon mitmproxy and use SSL SPLIT.."
"I used ssl split and it worked fine, comparing to mitmproxy. Bye!","Usé ssl split y funcionó bien, en comparación con mitmproxy. ¡Adiós!","I used ssl split and it worked well, compared to mitmproxy. Goodbye!"
"I seems you looked at the title and left it there, you didn't review or anything, I would hate to have you in charge of any security issues.","Parece que miraste el título y lo dejaste allí, no lo revisaste ni nada, odiaría tener que dejarte a cargo de cualquier problema de seguridad.","It seems like you looked at the title and left it there, you didn't review it or anything, I would hate to have to leave you in charge of any security issue."
don't need a retarded format to understand that! thanks.,¡No necesito un formato retrasado para entender eso! Gracias...,I don't need a delayed format to understand that! Thank you....
Too busy to respond?,¿Demasiado ocupado para responder?,Too busy to respond?
you do you.,Tú haz lo que tú quieras.,You do whatever you want.
Rarely do we have to enforce these guidelines and take action・・general guideline as always is to not be a jerk and you・・ll be just fine :).,"Rara vez tenemos que hacer cumplir estas directrices y tomar medidas. La pauta general, como siempre, es no ser un patán y estarás perfectamente bien :)..","We rarely have to enforce these guidelines and take action. The general rule, as always, is not to be a jerk and you'll be perfectly fine :)..."
