statement,chinese,retranslate
"I'll be brief: It's because of guys like you that this device is being revoked. You - the person creating this issue @microsoftceo2 is shit btw - not widevine or the player, not even hiding the fact that you're using decryption keys illegally.",我会简短的说：就是因为像你这样的人，这个设备被撤销。就是你 - 创造问题的人@microsoftceo2非常糟糕 - 这不是widevine或者播放器的错，更不是因为你非法使用解密密钥的事实被隐藏了。,"I will simply say: it is because of people like you that this device has been withdrawn. It's you - the one creating problems @microsoftceo2, very bad - it's not the fault of Widevine or the player, nor is it hidden due to your illegal use of decryption keys."
"If you dont like it, fork it. Stop bothering us about it, we will never fully remove the slur filter.",如果你不喜欢它，就分叉它。停止关于它的骚扰，我们永远不会完全移除侮辱过滤器。,"If you don't like it, then fork it. Stop the harassment about it, we will never completely remove the insult filter."
Is this not clear enough? Slurs are against our code of conduct and the goals of this project. Go to voat or gab if you want to use racist or sexist slurs; we don't allow them here.,这还不够清楚吗？侮辱性言论违反了我们的行为准则和这个项目的目标。如果你想使用种族或性别侮辱语，可以去voat或gab；我们这里不允许。,"Isn't this clear enough? Insulting remarks violate our code of conduct and the goals of this project. If you want to use racial or gender insults, you can go to voat or gab; we don't allow it here."
"Are u crazy? How did u make so unusable bloatwared software? Its possible to be simple, wtf do u do?",你疯了吗？你是怎么制作出如此难以使用且充满垃圾软件的软件的？简单是有可能的，你到底在做什么？,"Have you gone mad? How did you manage to create such a difficult-to-use software filled with junk programs? Simplicity is possible, what on earth are you doing?"
"Whats wrong with retroarch? Everything is wrong! Its terrible, hujnya ebanaya karoche!",这些句子的中文翻译是：Retroarch出了什么问题？一切都有问题！实在是太糟糕了，就是一团糟！,"The Chinese translation of these sentences is: What's wrong with Retroarch? Everything is a problem! It's just terrible, it's a mess!."
"Your project exist about 10 years and there is still not usable interface out of box, even no guide which explain how make this shit normal, explain what do u need to restore graphic etc",你的项目已经存在10年了，却仍然没有可直接使用的界面，甚至没有指南来解释如何使之正常化，解释你需要什么来恢复图像等等。,"Your project has been in existence for 10 years, yet it still doesn't have a directly usable interface, not even a guide to explain how to normalize it, explain what you need to recover images, and so on."
"I don't know what will reproduce the problem because I don't know what the problem is. I just tried reinstalling you buggy, shitty software for the third time.",我不知道什么会再次产生这个问题，因为我根本不知道问题在哪里。我刚刚尝试第三次重新安装你们这个有缺陷、糟糕透顶的软件。,"I don't know what could cause this problem to occur again because I have no idea where the problem lies. I just tried for the third time to reinstall your flawed, utterly awful software."
"Closing and locking because we don't admit this behavior here, according to our Code of Conduct:",根据我们的行为准则，由于我们在这里不接受这种行为，所以关闭并锁定：,"According to our code of conduct, because we do not accept such behavior here, we have closed and locked it."
I want my shit installed on my secondary drive.,我想把我的程序安装在我的第二硬盘上。,I want to install my program on my second hard drive.
"He took the code beginning of 2017, not 7 years ago. Don・・t be a dick as the source code was stolen at that point and implemented on this.",他在2017年初取得了代码，而不是7年前。不要做个混蛋，因为源代码在那时被偷，然后实施在这上面。,"He obtained the code at the beginning of 2017, not 7 years ago. Don't be a jerk, because the source code was stolen at that time and then implemented on this."
"please be civilized and refrain from profanities as required by our Code of Conduct, or I'll ban you from all Falconry projects. This is the last warning.",请遵守我们的行为准则，保持文明礼貌，不要使用粗俗语言，否则我会禁止你参与所有的猎鹰项目。这是最后一次警告。,"Please comply with our code of conduct, remain civil and courteous, do not use vulgar language, otherwise I will ban you from participating in all Falcon projects. This is your final warning."
I・・m not a bot but if you wish to ignore me go ahead and I・・ll get a lawyer,我不是机器人，但如果你想忽视我，那就尽管去吧，我将去找律师。,"I am not a robot, but if you want to ignore me, go ahead, I will go find a lawyer."
Cant even install the fucking app,甚至无法安装这该死的应用程序。,I can't even install this damn application.
"Where to fﾑ・k python2? Why, when I give the brew install python command, python3 is installed, not python2. Developers are you stoned there? Why is separation so difficult?",去哪里找Python2？为什么，当我输入brew install python命令时，安装的是Python3而不是Python2。开发者们，你们是不是在那儿发呆？为什么区分这两者如此困难？,"Where can I find Python2? Why, when I input the command 'brew install python', is Python3 installed instead of Python2? Developers, are you guys spacing out over there? Why is differentiating between the two so difficult?"
I recommend not having intercourse with EOL software.,我建议不要与 EOL 软件进行交互。,I suggest not to interact with the EOL software.
"And I recommend you quit! There are many more where python2 is used and only some modules are installed under it, and you deleted it from the repository. Do you think at all with your head or do you have a hamburger head place?",我建议你停手！有很多地方还在使用python2，而且只有一些模块被安装在它下面，你却从库中删除了它。你到底是在用脑子思考还是你的头脑里充满了汉堡？,"I suggest you stop! Many places are still using Python2, and only some modules are installed under it, yet you have removed it from the library. Are you actually using your brain to think or is your head filled with hamburgers?"
"This name is in use and should be changed imediately. Yes, I have seen the other issues. Yes, I am opening a new one because fuck you Microsoft.You are merely trying to cast a shadow on other, truly open source projects.",这个名称正在使用中，应立即更改。是的，我已经看到了其他的问题。是的，我正在开启一个新的，因为我对微软的不满。你只是试图对其他真正的开源项目投射阴影。,"This name is currently in use and should be changed immediately. Yes, I have already seen the other problems. Yes, I am starting a new one because of my dissatisfaction with Microsoft. You are just trying to cast a shadow on other genuine open source projects."
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently.",您的评论语气和风格违反了我们的行为准则。我们已经将问题评论标记为滥用，并封锁了您7天。如果此类行为持续存在，我们将永久封锁您。,"Your comment's tone and style have violated our code of conduct. We have flagged the problematic comment as abuse and have blocked you for 7 days. If such behavior continues, we will permanently block you."
"You can be mad all you want, but let's be realistic here... this project you're fighting for so passionately, doesn't have as many stars as I have thumbs down for telling you that you'e being ridiculous",你可以尽情生气，但我们要现实一些…你如此热衷地争取的这个项目，获得的赞同还没有我因告诉你你的行为荒谬而得到的反对多。,"You can be as angry as you want, but we need to be realistic... The approval you get for this project you're so passionately fighting for, is less than the objections I get for telling you that your behavior is absurd."
"Imagine trying to put up a faﾃｧade with ms・・､・ｸ・linux, then turning stuff into a dick size competition with repo stars and other stats because you know you messed up and don't want to admit it lmfao",想象一下试图与ms .. .linux保持一种假象，然后由于你知道自己搞砸了却不愿意承认，所以将事情变成了关于repo星级和其他统计数据的屌丝比赛，笑死我了。,"Imagine trying to maintain a facade with ms... linux, then turning things into a crappy competition about repo star ratings and other statistical data because you messed up and don't want to admit it. It's hilarious."
Beautiful! You steal name and say that it's OK! Good position!,美丽! 你偷取名字并说没关系!好位置!,Beautiful! You steal the name and say it's okay! Good location!
"your tone and style of commenting is violating our Code of Conduct. We have marked the problematic comments as abusive and blocked you for 7 days. If this behavior persists, we・・re going to block you permanently",您的评论语气和风格违反了我们的行为准则。我们已将问题评论标记为滥用并暂时封锁您7天。如果这种行为持续存在，我们将永久封锁您。,"The tone and style of your comment violated our code of conduct. We have marked the problematic comment as abuse and temporarily blocked you for 7 days. If this behavior persists, we will permanently block you."
"Why changing the title? If it's a feature, it is USELESS.",为什么要更改标题？如果这是一项功能，那它就是无用的。,"Why change the title? If this is a feature, then it is useless."
"closing as this is unrelated to jupyterlab and well documented issue across various other repos and stack overflow. google is a good tool, here is a sample article I found by googling ""multiple conda evironments jupyter""","因为这与jupyterlab无关，并且在各种其他代码库和堆栈溢出中都有详细的记录，所以关闭此问题。谷歌是一个好的工具，这里有一个我通过谷歌搜索""multiple conda environments jupyter""找到的示例文章。","This is unrelated to JupyterLab and is well documented in various other code libraries and Stack Overflow, so this issue is closed. Google is a good tool, here is an example article I found by googling ""multiple conda environments jupyter""."
"The system is beyond tedious. It allowed a bug to remain hidden for more than a decade and gives the false impression the developers can infer actual usage based on saliency of problems. Trouble free functionalities are mistaken for useless functionalities, while functionalities that frequently suck the attention of the developers are promoted to further monopolize their efforts. A simple evident solution, rejected by a test that requires the bug to be present, is about to be swept under the rug in favour of increased complexity imposed on the users and malpractices like deprecations within a minor version.",这个系统简直令人烦躁。它让一个错误隐藏了十多年，给人们一种误导，即开发者可以根据问题的显著性推断出实际使用情况。无故障的功能被误认为是无用的功能，而那些经常吸引开发者注意力的功能却被推广，进一步垄断他们的努力。一个简单可见的解决方案，被要求错误存在的测试拒绝，即将被扫入地毯下，以支持增加对用户的复杂性和在次要版本中的不良做法，如弃用。,"This system is downright frustrating. It allowed an error to hide for over a decade, giving people a misconception that developers can infer actual usage based on problem prominence. Fault-free functions are mistakenly assumed to be useless, while those that frequently attract developer attention are promoted, further monopolizing their efforts. A simple and visible solution is rejected by tests insisting on the existence of flaws, and is about to be swept under the rug, in favor of increasing complexity for users and bad practices in minor versions, such as deprecation."
"I think if you don't want to use C, then at first you should design and implement your own language. Not C++ hell.",我认为如果你不想用C，那么你首先应该设计并实现你自己的语言。不是C++这种噩梦。,"I think if you don't want to use C, then you should first design and implement your own language. Not the nightmare that is C++."
Make 100% sure you dont fuck up the ui for coutries where people speak diferent languages like Belgium (ur collegues fucked up bigtime with the store),请务必确保你不会把用户界面搞砸，像比利时这样的国家，人们讲的语言都不同（你的同事对商店的处理已经犯下了非常大的错误）。,"Please make sure you don't mess up the user interface; in countries like Belgium, people speak different languages (your colleague has already made a huge mistake handling the store)."
PS. fucking finaly dont you guys think this is years overdue ?,PS. 他妈的，你们不觉得这个已经拖延很多年了吗？,"PS. Damn it, don't you think this has already been delayed for many years?"
"Whoever will find this issue and gets pissed off, because author doesn't bother to fix it for years, ditch mitmproxy and use SSL SPLIT",无论是谁发现了这个问题并且因为作者几年都不去修复而感到恼火，请放弃使用mitmproxy，改用SSL SPLIT。,"Whoever discovered this issue and is annoyed because the author hasn't fixed it for years, please stop using mitmproxy and switch to SSL SPLIT."
"I used ssl split and it worked fine, comparing to mitmproxy. Bye!",我使用了ssl split，它的工作效果很好，相比于mitmproxy。再见！,"I used SSL Split, it works very well compared to mitmproxy. Goodbye!"
"I seems you looked at the title and left it there, you didn't review or anything, I would hate to have you in charge of any security issues.",看起来你只是看了标题就把它扔在那儿，你没有进行任何的审查。我讨厌让你负责任何安全问题。,It looks like you just read the title and left it there without doing any review. I hate to have you in charge of any security issues.
don't need a retarded format to understand that! thanks.,不需要一个愚蠢的格式来理解那个！谢谢。,No need for a silly format to understand that! Thank you.
Too busy to respond?,太忙了无法回复？,Too busy to reply?
you do you.,你就做你自己。,Just be yourself.
Rarely do we have to enforce these guidelines and take action・・general guideline as always is to not be a jerk and you・・ll be just fine :).,我们很少需要执行这些指导原则并采取行动。一贯的基本原则就是不要做一个混蛋，你就会没问题的:)。,"We rarely need to implement these guiding principles and take action. The consistent basic principle is not to be a jerk, then you'll be fine :)."
